cliente_id,nombre_cliente,es_empresa,segmento,nif,provincia,email,telefono,fecha_alta,nif_valido,email_valido,telefono_valido
1415,Logística Cuadrado & Asociados S.L.,True,Taller/Pequeña Empresa,W50446607,Málaga,logística.cuadrado.&,+34984 14 74 35,2025-08-07,Válido,Revisar,Válido
3925,Jose Angel Blázquez Carretero,False,Consumidor Final,E50625464,Bilbao,jose.angel.blázquez.@hotmail.com,+34 847923613,2023-10-10,Válido,Válido,Válido
2840,Grupo Bravo S.L.,True,Taller/Pequeña Empresa,U90291375,Madrid,grupo.bravo.s.l.@hotmail,,2021-05-16,Válido,Revisar,Revisar
1298,Tormo Y Villalonga S.L.N.E,True,Taller/Pequeña Empresa,U14746418,Valencia,tormo.y.villalonga.s@empresa.es,+34807 821 486,2021-04-11,Válido,Válido,Válido
2068,Hnos Terrón S.L.L.,True,Taller/Pequeña Empresa,J83244637,Barcelona,hnos.terrón.s.l.l.@hotmail.com,+34 814605687,2022-12-18,Válido,Válido,Válido
3840,Pereira Y Arce S.L.N.E,True,Taller/Pequeña Empresa,B97900106,Zaragoza,pereira.y.arce.s.l.n@gmail.com,+34 923 19 19 39,2022-11-12,Válido,Válido,Válido
1032,Comercializadora Lorenzo Y Asociados S.L.,True,Distribuidor Mediano,U67403166,Sevilla,comercializadora.lor@gmail.com,+34 945850142,2023-11-02,Válido,Válido,Válido
2945,Milla Y Asociados S.L.,True,Taller/Pequeña Empresa,J71828022,Sevilla,milla.y.asociados.s.@outlook.es,+34884216435,2024-12-25,Válido,Válido,Válido
3628,Suministros Lzkn S.A.T.,True,Taller/Pequeña Empresa,F90547146,Sevilla,suministros.lzkn.s.a@hotmail.com,+34944 512 955,2022-05-29,Válido,Válido,Válido
3895,Geraldo Rodríguez,False,Consumidor Final,N43415948,Madrid,geraldo.rodríguez@hotmail.com,,2020-11-28,Válido,Válido,Revisar
1657,Bilbao Y Briones S.A.,True,Taller/Pequeña Empresa,E65592149,Zaragoza,bilbao.y.briones.s.a@empresa.es,+34 842737158,2022-10-24,Válido,Válido,Válido
4043,Quintana Y Pascual S.L.,True,Taller/Pequeña Empresa,U81176505,Sevilla,quintana.y.pascual.sempresa.es,+34988182729,2021-03-19,Válido,Revisar,Válido
2983,Pi & Asociados S.Coop.,True,Taller/Pequeña Empresa,H61023799,Barcelona,pi.&.asociados.s.coo@empresa.es,+34 881358768,2023-06-17,Válido,Válido,Válido
4511,Hipólito Gerardo Rozas Pedro Sl,False,Consumidor Final,H28057280,Barcelona,hipólito.gerardo.roz@outlook.es,+34872 17 08 73,2020-09-04,Válido,Válido,Válido
2830,Cesar Batalla Delgado,False,Consumidor Final,F96102774,Murcia,cesar.batalla.delgad@empresa.es,+34 873 720 550,2025-07-20,Válido,Válido,Válido
3462,Comercial Del Norte S.L.N.E,True,Taller/Pequeña Empresa,N226222,Valencia,comercial.del.norte.@hotmail.com,+34902 27 49 36,2022-10-29,Revisar,Válido,Válido
2613,Farmaceútica Barriga & Asociados S.L.,True,Taller/Pequeña Empresa,F40770370,Barcelona,farmaceútica.barriga@hotmail.com,+34845 334 511,2020-08-01,Válido,Válido,Válido
2073,Despacho Manzano S.L.L.,True,Fabricante Grande,S87781432,Sevilla,despacho.manzano.s.l@gmail.com,+34882 30 39 42,2023-11-09,Válido,Válido,Válido
1897,Lupe Serna Carretero,False,Consumidor Final,L96434410,Sevilla,lupe.serna.carretero@outlook.es,+34841 529 671,2023-07-01,Válido,Válido,Válido
4228,Familia Valencia S.L.N.E,True,Distribuidor Mediano,G51823028,Barcelona,familia.valencia.s.lgmail.com,+34 971 27 97 32,2023-08-26,Válido,Revisar,Válido
3436,Promociones Del Mediterráneo S.Com.,True,Taller/Pequeña Empresa,C44828170,Valencia,promociones.del.medi@outlook.es,+34978 15 54 46,2025-07-24,Válido,Válido,Válido
3708,Gervasio Valera Navarrete S.Coop.,True,Fabricante Grande,Q61228594,Zaragoza,gervasio.valera.nava@gmail.com,+34 885529267,2025-06-19,Válido,Válido,Válido
1315,Miguel & Asociados S.A.,True,Taller/Pequeña Empresa,B29948970,Zaragoza,miguel.&.asociados.s@hotmail.com,+34981 94 21 04,2025-12-13,Válido,Válido,Válido
1461,Consultoría Catalá S.L.N.E,True,Taller/Pequeña Empresa,Q33461307,Bilbao,consultoría.catalá.s@outlook.es,+34694 077 780,2023-12-29,Válido,Válido,Válido
2650,Cirino Lucas Monreal S.A.,True,Fabricante Grande,C29848429,Alicante,cirino.lucas.monreal@outlook.es,+34927 42 68 74,2022-01-12,Válido,Válido,Válido
1017,Roda Y Asociados S.Coop.,True,Taller/Pequeña Empresa,A39557077,Barcelona,roda.y.asociados.s.c@gmail.com,+34 807106513,2021-08-07,Válido,Válido,Válido
2263,Arranz Y Mate S.A.,True,Taller/Pequeña Empresa,R57848816,Alicante,arranz.y.mate.s.a.@gmail.com,+34 924 973 711,2021-06-11,Válido,Válido,Válido
1149,Comercializadora Uly S.Com.,True,Taller/Pequeña Empresa,Q39801436,Barcelona,comercializadora.uly@gmail.com,+34946 91 25 17,2023-03-06,Válido,Válido,Válido
1807,Rodolfo Guzmán Azorin,False,Consumidor Final,C54923454,Castellón,rodolfo.guzmán.azori@empresa.es,+34 924 69 06 74,2022-02-13,Válido,Válido,Válido
2926,Banca Privada Verdejo S.C.P,True,Taller/Pequeña Empresa,N67912960,Málaga,banca.privada.verdej@hotmail.com,+34 978292543,2025-06-15,Válido,Válido,Válido
1093,Soluciones Cabeza S.L.L.,True,Taller/Pequeña Empresa,K32329103,Barcelona,soluciones.cabeza.s.@gmail.com,+34946 405 377,2025-12-18,Válido,Válido,Válido
3644,Escrivá & Asociados S.Com.,True,Fabricante Grande,E63435899,Zaragoza,escrivá.&.asociados.@outlook.es,,2025-01-22,Válido,Válido,Revisar
1291,Grupo Carreño S.L.N.E,True,Fabricante Grande,U30854365,Barcelona,grupo.carreño.s.l.n.@outlook.es,+34972 223 320,2022-12-07,Válido,Válido,Válido
4077,Hnos Quevedo S.L.,True,Distribuidor Mediano,F643034,Castellón,hnos.quevedo.s.l.@empresa.es,+34800 31 57 58,2022-05-28,Revisar,Válido,Válido
4592,Leandro Hoyos Montoya S.Com. Sl,True,Distribuidor Mediano,F24404851,Alicante,leandro.hoyos.montoy@outlook.es,+34 974 95 02 09,2023-03-28,Válido,Válido,Válido
3313,Alimentación Cabello S.A.U,True,Taller/Pequeña Empresa,H12247218,Madrid,alimentación.cabello@outlook.es,+34848 53 20 83,2024-06-08,Válido,Válido,Válido
3344,Lisandro Echeverría Campos,False,Consumidor Final,Q13445730,Castellón,lisandro.echeverría.@empresa.es,+34974 735 166,2023-06-03,Válido,Válido,Válido
2094,Logística Vhhp S.A.D,True,Distribuidor Mediano,M31248616,Valencia,logística.vhhp.s.a.d@hotmail.com,+34 824 735 984,2023-09-13,Válido,Válido,Válido
3922,Juanita Soria Francisco,False,Consumidor Final,B16517633,Barcelona,juanita.soria.franci@hotmail.com,+34 984 33 06 14,2021-12-11,Válido,Válido,Válido
4462,Talleres Iberia S.Com.,True,Taller/Pequeña Empresa,F40090457,Zaragoza,talleres.iberia.s.co@gmail.com,+34 823 87 77 95,2024-03-15,Válido,Válido,Válido
1932,Ale Mohamed Sales Arnau,False,Consumidor Final,E78274190,Bilbao,ale.mohamed.sales.aroutlook.es,+34926 277 402,2022-07-22,Válido,Revisar,Válido
1940,Fábrica Qu S.Com.,True,Taller/Pequeña Empresa,F68969458,Zaragoza,fábrica.qu.s.com.@hotmail.com,+34946 981 528,2023-05-08,Válido,Válido,Válido
3948,Desarrollo Ah S.C.P,True,Taller/Pequeña Empresa,F76492451,Alicante,desarrollo.ah.s.c.p@hotmail.com,+34 881 79 79 00,2023-05-03,Válido,Válido,Válido
3884,Fábrica Prieto Y Asociados S.Com.,True,Distribuidor Mediano,H36618901,Zaragoza,fábrica.prieto.y.aso@hotmail.com,+34 976 74 07 03,2022-10-24,Válido,Válido,Válido
4194,Manufacturas Osuna Y Asociados S.L.N.E,True,Taller/Pequeña Empresa,C48416466,Madrid,manufacturas.osuna.y@hotmail.com,+34928 37 23 76,2022-11-15,Válido,Válido,Válido
2551,Asensio Y Serra S.Coop.,True,Taller/Pequeña Empresa,G53836805,Zaragoza,asensio.y.serra.s.co@outlook.es,+34848548242,2021-03-17,Válido,Válido,Válido
1700,Arranz & Asociados S.A.D,True,Taller/Pequeña Empresa,W81500378,Alicante,arranz.&.asociados.s@gmail.com,+34 887 23 42 58,2021-11-29,Válido,Válido,Válido
1120,Ana Sofía Murcia Busquets,False,Consumidor Final,E38553319,Valencia,ana.sofía.murcia.bus@empresa.es,+34942 44 92 51,2023-11-06,Válido,Válido,Válido
2011,Gerónimo Mateo Quintana Iñiguez,False,Consumidor Final,A52481963,Barcelona,gerónimo.mateo.quint@outlook.es,+34 988 31 92 13,2022-02-08,Válido,Válido,Válido
1965,Daniel Vicente Berenguer S.A.U,True,Taller/Pequeña Empresa,Q30889845,Alicante,daniel.vicente.beren@outlook.es,+34921 956 164,2021-04-27,Válido,Válido,Válido
1170,Inmobiliaria Cervantes & Asociados S.Coop.,True,Taller/Pequeña Empresa,E84040798,Madrid,inmobiliaria.cervant@gmail.com ,+34879 30 83 30,2021-01-27,Válido,Válido,Válido
3540,Díaz Y Asociados S.Coop.,True,Taller/Pequeña Empresa,P11027542,Sevilla,díaz.y.asociados.s.c@gmail.com,+34876 57 33 81,2025-08-17,Válido,Válido,Válido
2671,Úrsula Bravo-Peña,False,Consumidor Final,S35539836,Zaragoza,úrsula.bravo-peña@hotmail.com,+34 875 957 875,2025-02-15,Válido,Válido,Válido
1351,Alma Bonilla Beltrán,False,Consumidor Final,V73697356,Valencia,alma.bonilla.beltrán@hotmail.com,+34 807248193,2025-09-26,Válido,Válido,Válido
2600,Grupo Moya S.L.L.,True,Distribuidor Mediano,V66334691,Bilbao,grupo.moya.s.l.l.,+34971 60 22 06,2024-08-14,Válido,Revisar,Válido
1183,Jonatan Angulo Madrid,False,Consumidor Final,B63765155,Madrid,jonatan.angulo.madri@hotmail.com,+34946226567,2025-07-01,Válido,Válido,Válido
4516,Construcción Carranza Y Asociados S.A.T.,True,Taller/Pequeña Empresa,D45675021,Sevilla,construcción.carranz@outlook.es,+34 988503446,2024-07-16,Válido,Válido,Válido
1705,Ana Sofía Carina Verdugo Pons,False,Consumidor Final,M64627534,Valencia,ana.sofía.carina.ver@outlook.es,,2024-10-25,Válido,Válido,Revisar
3789,Aurelio Vargas Hernando,False,Consumidor Final,V34223703,Castellón,aurelio.vargas.herna@outlook.es,+34 819754247,2021-09-21,Válido,Válido,Válido
1889,Peral & Asociados S.L.,True,Distribuidor Mediano,A23445578,Sevilla,peral.&.asociados.s.@outlook.es,+34830 50 53 79,2025-01-26,Válido,Válido,Válido
1787,Servicios Sastre S.A.,True,Taller/Pequeña Empresa,U233323,Madrid,servicios.sastre.s.a@hotmail.com,+34 882 62 83 14,2026-03-22,Revisar,Válido,Válido
3582,Inversiones Torre S.Com.,True,Taller/Pequeña Empresa,R43407750,Murcia,inversiones.torre.s.@outlook.es,+34 875 410 341,2022-02-10,Válido,Válido,Válido
3260,Familia Checa S.L.U.,True,Taller/Pequeña Empresa,L79761721,Murcia,familia.checa.s.l.u.@empresa.es,+34 958159474,2024-12-02,Válido,Válido,Válido
3084,Farmaceútica Wo S.Coop.,True,Taller/Pequeña Empresa,G81115416,Valencia,farmaceútica.wo.s.co@gmail.com,,2024-02-18,Válido,Válido,Revisar
1026,Construcción Cañizares Y Asociados S.A.,True,Distribuidor Mediano,S85863473,Barcelona,construcción.cañizar@hotmail,,2021-02-10,Válido,Revisar,Revisar
1925,Noemí Villaverde Seguí S.L.L.,True,Fabricante Grande,N23146204,Sevilla,noemí.villaverde.seg@outlook.es,+34 823 04 15 91,2025-03-23,Válido,Válido,Válido
2411,Azorin Y Asociados S.Coop.,True,Distribuidor Mediano,A22292455,Valencia,azorin.y.asociados.s@empresa.es,,2021-07-21,Válido,Válido,Revisar
1746,Puig Y Asociados S.A.,True,Taller/Pequeña Empresa,Q74037945,Barcelona,puig.y.asociados.s.a@outlook.es ,+34 971689627,2020-08-11,Válido,Válido,Válido
2891,Sancho Y Asociados S.L.N.E,True,Taller/Pequeña Empresa,G11638103,Valencia,sancho.y.asociados.s@gmail.com,+34705 356 707,2023-05-17,Válido,Válido,Válido
2255,Comercializadora Xgx S.L.,True,Taller/Pequeña Empresa,F25003358,Barcelona,comercializadora.xgx@outlook.es,+34709456534,2022-12-17,Válido,Válido,Válido
3795,Royo Y Gomila S.A.,True,Taller/Pequeña Empresa,K65515109,Sevilla,royo.y.gomila.s.a.@outlook.es,+34 981 098 348,2022-01-21,Válido,Válido,Válido
3785,Fábrica Del Sur S.A.,True,Distribuidor Mediano,J70105652,Barcelona,fábrica.del.sur.s.a.@outlook.es,+34 987756798,2021-03-19,Válido,Válido,Válido
1109,Echevarría Y Castelló S.Com.,True,Distribuidor Mediano,L16788532,Barcelona,echevarría.y.castell@empresa.es,+34 878885160,2023-01-03,Válido,Válido,Válido
2738,Restauración Ibérica S.A.T.,True,Taller/Pequeña Empresa,P45806372,Alicante,restauración.ibérica@outlook.es,+34978 618 518,2025-09-30,Válido,Válido,Válido
2921,Hnos Toro S.L.N.E,True,Fabricante Grande,K73038907,Málaga,hnos.toro.s.l.n.e@gmail.com,+34974247925,2024-06-24,Válido,Válido,Válido
3571,Estefanía Linares Reyes,False,Consumidor Final,R98427126,Zaragoza,estefanía.linares.re@gmail.com,+34 943 289 735,2021-01-26,Válido,Válido,Válido
2330,Finanzas Escribano Y Asociados S.A.,True,Taller/Pequeña Empresa,N99597988,Barcelona,finanzas.escribano.y@gmail.com,+34705 595 501,2023-04-10,Válido,Válido,Válido
1534,Giménez Y Beltrán S.Coop.,True,Taller/Pequeña Empresa,W40992396,Madrid,giménez.y.beltrán.s.@empresa.es,+34978062397,2021-07-09,Válido,Válido,Válido
2938,Desarrollo Folch & Asociados S.Com.,True,Taller/Pequeña Empresa,L21749199,Málaga,desarrollo.folch.&.a@outlook.es,+34 886 413 727,2023-03-14,Válido,Válido,Válido
2475,Juliá Y Asociados S.Coop.,True,Taller/Pequeña Empresa,H55282739,Alicante,juliá.y.asociados.s.@gmail.com,,2022-01-09,Válido,Válido,Revisar
3858,Castilla Y Salmerón S.L.N.E,True,Fabricante Grande,H23940174,Madrid,castilla.y.salmerón.@hotmail.com,+34 823 16 62 86,2023-01-01,Válido,Válido,Válido
2924,Pablo Y Bustos S.Com.,True,Taller/Pequeña Empresa,Q62781957,Sevilla,pablo.y.bustos.s.com@outlook.es,+34807257846,2022-01-29,Válido,Válido,Válido
1457,Talleres Sans S.A.,True,Taller/Pequeña Empresa,R35523849,Sevilla,talleres.sans.s.a.@empresa.es,+34 981 12 98 26,2022-11-16,Válido,Válido,Válido
1450,Farmaceútica Rhb S.Com.,True,Taller/Pequeña Empresa,J21655844,Málaga,farmaceútica.rhb.s.c@hotmail.com,+34947 647 423,2021-02-10,Válido,Válido,Válido
2786,Grupo Álvarez S.Coop.,True,Taller/Pequeña Empresa,V77598694,Madrid,grupo.álvarez.s.coop@gmail.com,,2024-10-27,Válido,Válido,Revisar
2237,Servicios Carreras Y Asociados S.Coop.,True,Taller/Pequeña Empresa,J468788,Castellón,servicios.carreras.y@hotmail.com,+34 972 986 321,2020-09-26,Revisar,Válido,Válido
2499,Ana Isaura Blázquez Rosado,False,Consumidor Final,E55821856,Zaragoza,ana.isaura.blázquez.@gmail.com,+34949906322,2025-06-11,Válido,Válido,Válido
2467,Grupo Aguado S.L.N.E,True,Taller/Pequeña Empresa,P57128455,Sevilla,grupo.aguado.s.l.n.e@empresa.es,+34 803245393,2020-11-30,Válido,Válido,Válido
3098,Galindo Y Arellano S.A.,True,Taller/Pequeña Empresa,D80245541,Alicante,galindo.y.arellano.s@empresa.es,+34 824 585 423,2021-10-19,Válido,Válido,Válido
3131,Consultoría Np S.A.T.,True,Fabricante Grande,K35826028,Alicante,consultoría.np.s.a.t@outlook.es,+34 826332528,2022-09-04,Válido,Válido,Válido
1184,Peña Y Bernat S.L.,True,Taller/Pequeña Empresa,W93650068,Bilbao,peña.y.bernat.s.l.@empresa.es,+34 988 251 286,2023-07-16,Válido,Válido,Válido
3202,Tapia & Asociados S.Com.,True,Taller/Pequeña Empresa,G11294689,Barcelona,tapia.&.asociados.s.@hotmail.com,+34821 902 231,2024-05-18,Válido,Válido,Válido
2270,Hermanos Cerro S.Com.,True,Taller/Pequeña Empresa,V36145447,Málaga,hermanos.cerro.s.com@gmail.com,+34880 733 777,2021-09-23,Válido,Válido,Válido
1990,Fábrica Rebollo & Asociados S.Coop.,True,Taller/Pequeña Empresa,D24549320,Zaragoza,fábrica.rebollo.&.as@hotmail.com,+34 921 456 676,2022-10-16,Válido,Válido,Válido
1869,Inés Perea Elorza,False,Consumidor Final,H99255596,Sevilla,inés.perea.elorza@outlook.es,+34847866464,2024-07-14,Válido,Válido,Válido
1179,Ricart Y Asociados S.L.,True,Distribuidor Mediano,P92594562,Castellón,ricart.y.asociados.s@empresa.es,+34 876391878,2024-07-17,Válido,Válido,Válido
1033,Alejo Camps-Rovira,False,Consumidor Final,P29876811,Barcelona,alejo.camps-rovira@gmail.com,+34924 56 98 16,2025-09-01,Válido,Válido,Válido
3847,Consultoría Carranza S.Coop.,True,Taller/Pequeña Empresa,N31302349,Valencia,consultoría.carranza@outlook.es,+34 806181123,2025-07-12,Válido,Válido,Válido
3822,Hernando Estevez Domínguez S.L.N.E,True,Taller/Pequeña Empresa,D21835886,Valencia,hernando.estevez.dom@outlook.es,+34873 48 74 93,2023-12-09,Válido,Válido,Válido
1691,Construcción Ccsu S.Coop.,True,Taller/Pequeña Empresa,A88378721,Valencia,construcción.ccsu.s.@outlook.es,+34 947 399 076,2023-03-02,Válido,Válido,Válido
3843,Constanza Galiano-Checa,False,Consumidor Final,W15489895,Zaragoza,constanza.galiano-ch@outlook.es,+34821349522,2020-09-27,Válido,Válido,Válido
2334,Sebastian Grande Izquierdo,False,Consumidor Final,J43380094,Castellón,sebastian.grande.izq@gmail.com,+34 944 40 83 03,2025-12-21,Válido,Válido,Válido
3126,Alfonso Y Asociados S.L.N.E,True,Taller/Pequeña Empresa,C47513650,Málaga,alfonso.y.asociados.@gmail.com,+34843 241 142,2020-08-27,Válido,Válido,Válido
1439,Industrias Ibéricos S.A.,True,Distribuidor Mediano,P97138408,Murcia,industrias.ibéricos.@hotmail.com,+34 955 91 16 65,2022-07-02,Válido,Válido,Válido
3232,Teresa Anaya Méndez,False,Consumidor Final,Q36040674,Murcia,teresa.anaya.méndez@hotmail.com,,2026-01-27,Válido,Válido,Revisar
4448,Renata Vila Bárcena S.A.T.,True,Taller/Pequeña Empresa,Q65326443,Barcelona,renata.vila.bárcena.@outlook.es,+34887995043,2025-10-29,Válido,Válido,Válido
4537,Ricart Y Asociados S.L. Sl,True,Distribuidor Mediano,P92594562,Castellón,ricart.y.asociados.s@empresa.es,+34 876391878,2024-07-17,Válido,Válido,Válido
4271,Inmobiliaria Roman S.Com.,True,Fabricante Grande,B23691162,Madrid,inmobiliaria.roman.s@empresa.es,+34847 396 749,2025-12-17,Válido,Válido,Válido
2135,Transportes Fdft S.L.,True,Distribuidor Mediano,C97135770,Alicante,transportes.fdft.s.l,+34 803919191,2021-03-04,Válido,Revisar,Válido
