cliente_id,nombre_cliente,es_empresa,segmento,nif,provincia,email,telefono,fecha_alta
1415,LOGÍSTICA CUADRADO & ASOCIADOS S.L.,True,Taller/Pequeña Empresa,W50446607,Málaga,logística.cuadrado.&,+34984 14 74 35,2025-08-07
3925,Jose Angel Blázquez Carretero,False,Consumidor Final,E 50625464,Bilbao,jose.angel.blázquez.@hotmail.com,+34 847923613,2023-10-10
2840,Grupo Bravo S.L.,True,Taller/Pequeña Empresa,u90291375,madrid,grupo.bravo.s.l.@hotmail,,2021-05-16
1298,Tormo y Villalonga S.L.N.E,True,Taller/Pequeña Empresa,u14746418,Valencia (VLC),tormo.y.villalonga.s@empresa.es,+34807 821 486,2021-04-11
2068,Hnos Terrón S.L.L.,True,Taller/Pequeña Empresa,j83244637,Bcn,hnos.terrón.s.l.l.@hotmail.com,+34 814605687,2022-12-18
3840,Pereira y Arce S.L.N.E  ,True,Taller/Pequeña Empresa,B97900106,ZARAGOZA,pereira.y.arce.s.l.n@gmail.com,+34 923 19 19 39,2022-11-12
1032,Comercializadora Lorenzo y asociados S.L.,True,Distribuidor Mediano,U67403166,Sevilla,comercializadora.lor@gmail.com,+34 945850142,2023-11-02
2945,Milla y asociados S.L.,True,Taller/Pequeña Empresa,J 71828022,sevilla,milla.y.asociados.s.@outlook.es,+34884216435,2024-12-25
3628,Suministros LZKN S.A.T.,True,Taller/Pequeña Empresa,F90547146,SEVILLA,suministros.lzkn.s.a@hotmail.com,+34944 512 955,2022-05-29
3895,Geraldo Rodríguez,False,Consumidor Final,N-43415948,Madrid,geraldo.rodríguez@hotmail.com,,2020-11-28
1657,Bilbao y Briones S.A.,True,Taller/Pequeña Empresa,E65592149,ZARAGOZA,bilbao.y.briones.s.a@empresa.es,+34 842737158,2022-10-24
4043,Quintana y Pascual S.L.,True,Taller/Pequeña Empresa,U-81176505,SEVILLA,quintana.y.pascual.sempresa.es,+34988182729,2021-03-19
2983,Pi & Asociados S.Coop.,True,Taller/Pequeña Empresa,H 61023799,Barcelona,pi.&.asociados.s.coo@empresa.es,+34 881358768,2023-06-17
4511,Hipólito Gerardo Rozas Pedro SL,False,Consumidor Final,h28057280,Barna,hipólito.gerardo.roz@outlook.es,+34872 17 08 73,2020-09-04
2830,Cesar Batalla Delgado,False,Consumidor Final,f96102774,MURCIA,cesar.batalla.delgad@empresa.es,+34 873 720 550,2025-07-20
3462,Comercial del Norte S.L.N.E,True,Taller/Pequeña Empresa,N226222,valencia,comercial.del.norte.@hotmail.com,+34902 27 49 36,2022-10-29
2613,FARMACEÚTICA BARRIGA & ASOCIADOS S.L.,True,Taller/Pequeña Empresa,F 40770370,Barcelona,farmaceútica.barriga@hotmail.com,+34845 334 511,2020-08-01
2073,despacho manzano s.l.l.,True,Fabricante Grande,S 87781432,SEVILLA,despacho.manzano.s.l@gmail.com,+34882 30 39 42,2023-11-09
1897,Lupe Serna Carretero,False,Consumidor Final,l96434410,Sevilla,lupe.serna.carretero@outlook.es,+34841 529 671,2023-07-01
4228,Familia Valencia S.L.N.E,True,Distribuidor Mediano,g51823028,Bcn,familia.valencia.s.lgmail.com,+34 971 27 97 32,2023-08-26
3436,Promociones del Mediterráneo S.Com.,True,Taller/Pequeña Empresa,c44828170,Comunidad Valenciana,promociones.del.medi@outlook.es,+34978 15 54 46,2025-07-24
3708,Gervasio Valera Navarrete S.Coop.,True,Fabricante Grande,Q-61228594,Zaragoza,gervasio.valera.nava@gmail.com,+34 885529267,2025-06-19
1315,Miguel & Asociados S.A.,True,Taller/Pequeña Empresa,B-29948970,Zaragoza,miguel.&.asociados.s@hotmail.com,+34981 94 21 04,2025-12-13
1461,Consultoría Catalá S.L.N.E,True,Taller/Pequeña Empresa,Q33461307,BILBAO,consultoría.catalá.s@outlook.es,+34694 077 780,2023-12-29
